ID,IMAGE_URL,NAME,SKU,CATEGORY,COLOR,SIZE,WEIGHT,DESCRIPTION,PRICE,BRAND
P_S172151,"https://kmartau.mo.cloudinary.net/1aa3a2e5-def0-4e5f-9f7f-8c240c3b5384.jpg?tx=w_300,h_300,c_pad",Sleeveless Square Neck Gathered Top,73652144,Womens Sleeveless Tops,White,6,0.375,"Add a chic touch to your look with the Sleeveless Square Neck Gathered Top, featuring soft gathers that bring subtle style to any outfit.MaterialRecycled polyester and elastaneJacquard fabricFeaturesAll over printTexturedSquare neckSleevelessSoft gathered side detailWide turn up hemMid lengthFit and Model SizeSlim fitModel is 179cm tall and wears a Size 12Care InstructionsCold delicate machine wash with similar coloursDo not bleachDo not tumble dryDo not ironUse steam if rquiredDo not dry-clean",15,
P_43670079,"https://assets.kmart.com.au/transform/9829c577-76bc-4c00-80ca-cf14596a0fa4/43670079-1?io=transform:extend,width:580,height:725",Set of 3 Pyrex Food Containers,43670079,Food Storage Containers,Clear,Miscellaneous,1.8975,"Stock up on our storage glass Food Containers and always be ready to store leftovers or prep meals to go. Multicolour lids help keep these versatile glass dishes organised in the pantry, fridge or freezer.Secure, Airtight Lids: Each container comes with a tight-fitting lid to keep food fresh and prevent leaks during transport.Space-Saving Stackable Design: Designed to nest and stack easily, these containers help maximise space in your kitchen cabinets or fridge.Clear Design for Easy Visibility: The transparent glass makes it easy to see what's inside without opening the lids.Set of 3 Pyrex Food Containers SpecificationsProduct dimensions:&nbsp;22.86cm (H) x 26.51cm (W) x 18.26cm (D)Material:&nbsp;Glass (base) and plastic (lid)Product weight: 4.04kg",25,Anko
P_43651573,"https://assets.kmart.com.au/transform/e8991075-05c7-4bac-b630-adf37e341b3b/43651573-1?io=transform:extend,width:580,height:725",AFL Sydney Swans Cotton Beach Towel,43651573,Football,Multi,Miscellaneous,0.3315,"Show your team pride this summer with our official Sydney beach towels!Perfect for the beach, pool or gym - soft, absorbent and full of Swans spirit.Product DetailsMaterial:&nbsp;CottonDimensions/Size:&nbsp;150cm (L) x 75cm (W)FeaturesPrintedAdditional InformationCare instructions:&nbsp;Wash according to instructions on the care label",19,
P_43685288,"https://kmartau.mo.cloudinary.net/b7bae47e-ff59-4a0a-81a4-76f0114686aa.jpg?tx=w_300,h_300,c_pad",Sonic the Hedgehog: Superstar Colouring and Sticker Book,43685288,Colour & Activity Books,Miscellaneous,Miscellaneous,0.14,You gotta go fast and sparkle bright with Sonic and all his friends and foes in this 48-page colouring book! Plus there are over 50 holographic sparkly stickers to use and enjoy! Add some shine to your finished works of art or share the sticker fun with your friends!Suitable for ages:&nbsp;3-10 yearsNumber of pages:&nbsp;50 pagesBook cover:&nbsp;PaperbackOver 50 glitter stickers inside!,4,
P_43531790,"https://assets.kmart.com.au/transform/44161c3b-5b66-4c94-86c1-785769bec98b/43531790-1?io=transform:extend,width:580,height:725",Outdoor Chair - Green,43531790,Outdoor Chairs & Stools,Green,One Size,71.32125,"This product is excluded from the free delivery* offer, and will incur a delivery fee.This Outdoor Chair provides a practical and stylish seating choice for any outdoor setting. With its clean and minimal look, it is well-suited for relaxing on the balcony, patio, or in the garden.Modern Look and Flexible Style: The sleek silhouette paired with warn green shade brings a contemporary touch, while its simple form allows it to complement a wide range of outdoor decor.Lightweight and Convenient to Move: Made with everyday use in mind, this chair is easy to lift and reposition, allowing you to arrange your seating wherever you need it.Simple Assembly Process: Supplied with clear, easy-to-follow instructions, the chair can be set up quickly, making it a straightforward addition to your outdoor space.Outdoor Chair SpecificationsProduct dimensions:&nbsp;77cm (H) x 65cm (W) x 57cm (D)Maximum weight capacity:&nbsp;100kgMaterial: Polypropylene (PP) (seat) and steel (leg)Product weight:&nbsp;4.8kg",39,Anko
P_43567249,"https://assets.kmart.com.au/transform/5f14206d-a710-412a-a8d3-09832b4a7a79/43567249-1?io=transform:extend,width:580,height:725",Folding Table with Storage,43567249,Camping Tables,Multi,Miscellaneous,6.076,"The Folding Table with Storage is your go-to companion for seamless outdoor living. Whether you're planning a picnic, heading out on a camping adventure or simply need an extra surface for entertaining guests, this table delivers unmatched convenience and versatility. Designed with portability at its core, it features a compact foldable frame, adjustable height settings and a dedicated storage bag -making setup, transport and storage incredibly easy. Its smart design ensures you stay organised without sacrificing space or style.Folding Table with Storage FeaturesIt has 2 adjustable height settingsThe table folds into a carry case for easy storage and transportFolding Table with Storage SpecificationsProduct dimensions: 61/69cm (H) x 120cm (W) x 46cm (D) (Table size)Product dimensions:&nbsp;36cm (H) x 103cm (W) x 36cm (D) (Storage bag size)Box dimensions:&nbsp;49cm (L) x 8cm (H) x 62cm (W)Maximum weight capacity: 30kg (table) and 8kg (storage bag)Assembly: Adult assembly requiredAdditio",45,Anko
P_43645206,"https://assets.kmart.com.au/transform/5eb9d942-ee5a-4f90-8a44-951e1a67fe41/43645206-1?io=transform:extend,width:580,height:725",Fitness Bench and Deck,43645206,Strength Training,Miscellaneous,Miscellaneous,22.572,"This product is excluded from the free delivery* offer, and will incur a delivery fee.Achieve versatile workouts with this Fitness Bench and Deck. Combining a step and weight bench in one compact design, it includes resistance band points, accessory storage and requires no assembly - perfect for full-body training at home.Product DetailsDimensions/Size:&nbsp;2000-3500cm (H) x 110cm (W) x 34cm (D)Maximum weight capacity: 120kgFeaturesInclude 1 resistance bandCombines aerobic fitness step and weight bench into one compact platformIntegrated attachment points for resistance tubes to expand exercise varietyInternal storage compartment for fitness accessoriesNo assembly required - ready to use out of the boxAdditional InformationWarning:&nbsp;Consult your physician before engaging in any exercise program. Follow usage instructions carefully.",149,Anko
P_43651535,"https://kmartau.mo.cloudinary.net/8af750af-3e86-42a3-86fa-78e2424c60de.jpg?tx=w_300,h_300,c_pad",AFL Greater Western Sydney Giants Cotton Beach Towel,43651535,Football,Multi,Miscellaneous,0.3315,"Show your team pride at the beach, pool, or gym with the Greater Western Sydney Giants Beach Towel. Featuring bold team colours and the iconic Greater Western Sydney logo, this towel is the perfect accessory for any fan.Product DetailsDimensions/Size: 150cm (H) x 75cm (W)Material:&nbsp;CottonFeaturesPrintedAdditional InformationCare instructions:&nbsp;Wash according to instructions on the care label",19,
P_43685646,"https://kmartau.mo.cloudinary.net/0de310bd-9b5c-4d66-8263-ea54315ceebe.jpg?tx=w_300,h_300,c_pad",Barbie: Scratch Colouring - Book,43685646,Colour & Activity Books,Miscellaneous,Miscellaneous,0.1365,"Get ready for a fun and creative adventure with Brooklyn, Malibu and all their friends! With the wooden scratch tool included, as well as six colour-reveal scratch pages, six activity pages and eight colouring pages, the possibilities are endless!Suitable for ages:&nbsp;3-10 yearsNumber of pages:&nbsp;14 pagesBook cover:&nbsp;HardbackScratch to reveal a colourful surprise underneath!",6,
P_43585755,"https://assets.kmart.com.au/transform/8f903c80-1a74-4a0b-94a3-84c4e91549f9/43585755-1?io=transform:extend,width:580,height:725",Sit and Stand Desk,43585755,Computer Accessories,Black,One Size,16.5675,"Subject to availability, this product is available for purchase in NSW, QLD, VIC, WA, SA and ACT. This product is excluded from the free delivery* offer, and will incur a delivery fee. Add modern flexibility to your workspace with the Sit and Stand Desk, designed to support both productivity and comfort. With its adjustable height mechanism and sleek profile, it transitions smoothly between sitting and standing positions to suit your needs throughout the day.Perfect for home offices or study areas, the Sit and Stand Desk helps promote better posture while keeping your setup streamlined and contemporary.Sit and Stand Desk FeaturesIt can be transitioned from sitting to standing with the gas lift leverThis product can sit on top of your existing deskComes with a separate keyboard and mouse trayThe desk has a tablet holder slot on the desktopSit and Stand Desk SpecificationsIncludes assembly screwsProduct dimensions:&nbsp;88cm (W) x 40cm (D)&nbsp;(Desktop size)&nbsp;Product dimensions:&nbs",99,Anko
